Roster Grade,Official Grade,Grading Basis,Program and Plan,Level,Session,StudentID,IsSenior,IsJunior,IsSophomore,IsBusinessAdmin,NumericalGrade
A,A,GRD,Intended - Business Admin (intended),Junior,Fall 2021 2,2066.0,0,1,0,0,4.0
C+,C+,GRD,College of Arts and Sciences - Business Economics,Junior,Fall 2021 2,1122.0,0,1,0,0,2.3
D+,D+,GRD,College of Arts and Sciences - Business Economics,Senior,Fall 2021 2,1046.0,1,0,0,0,1.3
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,Fall 2021 2,1750.0,1,0,0,1,3.7
B-,B-,GRD,Business Administration - Accounting/Business (Minor),Senior,Fall 2021 2,1697.0,1,0,0,1,2.7
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,Fall 2021 2,1344.0,1,0,0,1,4.0
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,Fall 2021 2,1587.0,1,0,0,0,4.0
B,B,GRD,Business Administration - Interdis Financial Mkt Reg/Business (Minor),Junior,Fall 2021 2,1001.0,0,1,0,1,3.0
B+,B+,GRD,Public Affairs - Political Science/Business (Minor),Junior,Fall 2021 2,1479.0,0,1,0,0,3.3
B+,B+,GRD,Business Administration - Business Administration,Junior,Fall 2021 2,1507.0,0,1,0,1,3.3
C+,C+,GRD,College of Arts and Sciences - Business Economics,Junior,Fall 2021 2,1264.0,0,1,0,0,2.3
B+,B+,GRD,Business Administration - Business Administration,Junior,Fall 2021 2,1862.0,0,1,0,1,3.3
B+,B+,GRD,Intended - Business Economics (intended)/Business Admin (intended),Junior,Fall 2021 2,1886.0,0,1,0,0,3.3
A,A,GRD,Business Administration - Business Administration/Economics (Minor)/Statistics (Minor),Junior,Fall 2021 2,1253.0,0,1,0,1,4.0
B+,B+,GRD,Business Administration - Business Administration,Senior,Fall 2021 2,1906.0,1,0,0,1,3.3
A,A,GRD,Business Administration - Business Administration,Junior,Fall 2021 2,1422.0,0,1,0,1,4.0
B,B,GRD,Business Administration - Business Administration,Junior,Fall 2021 2,1435.0,0,1,0,1,3.0
A,A,GRD,Business Administration - Business Administration,Junior,Fall 2021 2,1964.0,0,1,0,1,4.0
B,B,GRD,Business Administration - Interdis Financial Mkt Reg/Business (Minor),Junior,Fall 2021 1,1001.0,0,1,0,1,3.0
C+,C+,GRD,Intended - Business Economics (intended),Junior,Fall 2021 1,1018.0,0,1,0,0,2.3
A,A,GRD,Business Administration - Accounting/Business (Minor)/English (Minor)/History (Minor),Senior,Fall 2021 1,1022.0,1,0,0,1,4.0
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,Fall 2021 1,1028.0,1,0,0,1,3.7
A-,A-,GRD,Business Administration - Accounting/Business Administration/Communication (Minor),Senior,Fall 2021 1,1030.0,1,0,0,1,3.7
A-,A-,GRD,Business Administration - Business Administration,Junior,Fall 2021 1,1035.0,0,1,0,1,3.7
B,B,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Senior,Fall 2021 1,1036.0,1,0,0,0,3.0
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Senior,Fall 2021 1,1041.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Digital Forensics,Junior,Fall 2021 1,1044.0,0,1,0,1,4.0
D+,D+,GRD,College of Arts and Sciences - Business Economics,Senior,Fall 2021 1,1046.0,1,0,0,0,1.3
A,A,GRD,Business Administration - Business Administration,Junior,Fall 2021 1,1052.0,0,1,0,1,4.0
A,A,GRD,College of Arts and Sciences - Quantitative Eco&Data Analysis/Business (Minor)/Psychology (Minor),Junior,Fall 2021 1,1079.0,0,1,0,0,4.0
A-,A-,GRD,Business Administration - Business Administration/Communication (Minor),Junior,Fall 2021 1,1086.0,0,1,0,1,3.7
A,A,GRD,Business Administration - Business Administration/Criminal Justice (Minor)/Sociology (Minor),Junior,Fall 2021 1,1106.0,0,1,0,1,4.0
B,B,GRD,Business Administration - Business Administration/Statistics (Minor),Junior,Fall 2021 1,1111.0,0,1,0,1,3.0
B,B,GRD,Business Administration - Business Administration,Senior,Fall 2021 1,1116.0,1,0,0,1,3.0
C,C,GRD,Business Administration - Business Administration,Junior,Fall 2021 1,1120.0,0,1,0,1,2.0
C+,C+,GRD,College of Arts and Sciences - Business Economics,Junior,Fall 2021 1,1122.0,0,1,0,0,2.3
B+,B+,GRD,Public Affairs - Political Science/Business (Minor),Junior,Fall 2021 1,1134.0,0,1,0,0,3.3
C,C,GRD,Business Administration - Accounting/Business (Minor),Junior,Fall 2021 1,1152.0,0,1,0,1,2.0
B-,B-,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,Fall 2021 1,1154.0,1,0,0,1,2.7
A,A,GRD,Business Administration - Business Administration,Senior,Fall 2021 1,1165.0,1,0,0,1,4.0
C,C,GRD,College of Arts and Sciences - Business Economics,Senior,Fall 2021 1,1168.0,1,0,0,0,2.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,Fall 2021 1,1211.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Senior,Fall 2021 1,1222.0,1,0,0,1,4.0
A,A,GRD,College of Arts and Sciences - Business Economics,Junior,Fall 2021 1,1224.0,0,1,0,0,4.0
B-,B-,GRD,Business Administration - Business Administration,Senior,Fall 2021 1,1239.0,1,0,0,1,2.7
B+,B+,GRD,Business Administration - Business Administration/Law & Philosophy (Minor),Junior,Fall 2021 1,1241.0,0,1,0,1,3.3
B+,B+,GRD,College of Arts and Sciences - Business Economics/Film Studies (Minor),Junior,Fall 2021 1,1243.0,0,1,0,0,3.3
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,Fall 2021 1,1246.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Economics (Minor)/Statistics (Minor),Junior,Fall 2021 1,1253.0,0,1,0,1,4.0
C+,C+,GRD,College of Arts and Sciences - Business Economics,Junior,Fall 2021 1,1264.0,0,1,0,0,2.3
B-,B-,GRD,Business Administration - Business Administration,Senior,Fall 2021 1,1290.0,1,0,0,1,2.7
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,Fall 2021 1,1305.0,0,1,0,1,4.0
B,B,GRD,Business Administration - Business Administration/Psychology/Legal Studies (Minor),Junior,Fall 2021 1,1307.0,0,1,0,1,3.0
A,A,GRD,Business Administration - Business Administration,Junior,Fall 2021 1,1311.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Sociology (Minor),Junior,Fall 2021 1,1312.0,0,1,0,1,4.0
B+,B+,GRD,Business Administration - Business Administration/Communication,Senior,Fall 2021 1,1319.0,1,0,0,1,3.3
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,Fall 2021 1,1344.0,1,0,0,1,4.0
C,C,GRD,Public Affairs - Political Science/Business (Minor),Junior,Fall 2021 1,1351.0,0,1,0,0,2.0
C+,C+,GRD,College of Arts and Sciences - Business Economics,Senior,Fall 2021 1,1356.0,1,0,0,0,2.3
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,Fall 2021 1,1377.0,1,0,0,1,4.0
B,B,GRD,College of Arts and Sciences - Business Economics/Sociology (Minor),Junior,Fall 2021 1,1383.0,0,1,0,0,3.0
A,A,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Senior,Fall 2021 1,1393.0,1,0,0,0,4.0
A,A,GRD,Business Administration - Business Administration,Junior,Fall 2021 1,1402.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Senior,Fall 2021 1,1410.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,Fall 2021 1,1422.0,0,1,0,1,4.0
B+,B+,GRD,College of Arts and Sciences - Business Economics,Senior,Fall 2021 1,1431.0,1,0,0,0,3.3
