StudentID,AvgSecsOnCapstoneTask,AvgCapstoneScore,AvgNumAttempts
1357.0,18.0,0.92,1.5
1359.0,29.0,0.96,1.38
1360.0,17.0,0.85,1.0
1361.0,10.0,0.91,1.0
1362.0,14.57,0.63,1.0
1363.0,17.25,0.96,1.75
1364.0,16.57,0.87,1.14
1365.0,23.88,0.96,1.38
1366.0,18.0,0.9,1.0
1367.0,19.25,0.93,1.62
1368.0,17.62,0.96,1.25
1369.0,17.12,0.9,1.0
1370.0,18.5,0.93,1.38
1371.0,16.12,0.87,1.0
1372.0,18.12,0.78,1.0
1373.0,16.71,0.86,1.14
1374.0,14.8,0.55,1.0
1375.0,17.12,0.97,1.62
1377.0,14.25,0.93,1.38
1378.0,13.0,0.61,1.1
1379.0,22.38,0.9,1.12
1380.0,16.71,0.93,1.29
1381.0,22.14,0.92,1.14
1382.0,19.6,0.94,1.2
1383.0,13.43,0.93,1.0
1384.0,16.5,0.83,1.0
1385.0,26.0,0.88,1.0
1386.0,16.88,0.78,1.0
1387.0,17.38,0.9,1.0
1388.0,16.29,0.84,1.0
1389.0,17.86,0.86,1.0
1390.0,21.12,0.87,1.5
1391.0,17.29,0.97,1.29
1392.0,13.75,0.94,1.0
1393.0,21.25,0.91,1.12
1394.0,32.0,0.96,1.38
1395.0,30.0,0.95,1.57
1396.0,18.12,0.87,1.25
1397.0,18.38,0.88,1.12
1398.0,5101.62,0.87,1.12
1399.0,15.4,0.92,1.0
1400.0,17.88,0.91,1.0
1401.0,19.12,0.9,1.25
1402.0,13.75,0.96,1.5
1403.0,19.5,0.84,1.0
1404.0,16.71,0.89,1.0
1405.0,19.12,0.99,1.5
1406.0,17.75,0.98,2.12
1407.0,21.0,0.97,1.12
1408.0,35.86,0.87,1.57
1409.0,16.25,0.92,1.12
1410.0,13.88,0.96,1.5
1411.0,12.86,0.92,1.29
1413.0,13.25,0.87,1.5
1414.0,16.88,0.88,2.12
1415.0,17.43,0.92,1.0
1416.0,22.14,0.81,1.0
1417.0,12.0,0.9,1.0
1418.0,18.75,0.9,1.0
1419.0,18.8,0.75,1.2
1420.0,18.57,0.83,1.14
1421.0,17.25,0.92,1.5
1422.0,14.12,0.95,1.25
1423.0,17.12,0.9,1.25
1424.0,17.5,0.88,1.0
1425.0,16.0,0.86,1.12
1426.0,20.75,0.92,1.0
1427.0,21.38,0.91,1.25
1428.0,16.75,0.83,1.12
1429.0,16.43,0.79,1.0
1430.0,15.88,0.89,1.0
1431.0,37.33,0.74,1.0
1432.0,17.25,0.97,1.25
1433.0,26.38,0.98,1.38
1434.0,15.8,0.9,1.6
1435.0,20.11,0.87,1.0
1436.0,16.25,0.92,1.5
1437.0,13.4,0.94,1.2
1438.0,12.5,0.96,1.0
1439.0,17.25,0.94,1.25
1440.0,32.25,0.92,1.5
1441.0,17.33,0.87,1.0
1442.0,17.86,0.89,1.14
1443.0,20.12,0.9,1.12
1444.0,16.75,0.93,1.12
1445.0,16.4,0.84,1.4
1446.0,16.75,0.92,1.12
1447.0,18.44,0.79,1.0
1448.0,17.38,0.83,1.0
1449.0,28.25,0.97,1.12
1450.0,25.0,0.93,1.0
1451.0,20.5,0.93,1.0
1452.0,18.43,0.83,1.0
1453.0,24.38,0.94,1.38
1454.0,13.75,0.91,1.12
1455.0,14.14,0.92,1.14
1456.0,18.12,0.98,2.12
1457.0,17.57,0.91,1.57
1458.0,16.33,0.82,1.0
1459.0,17.33,0.92,1.0
1460.0,27.0,0.9,1.12
1461.0,16.57,0.96,1.0
1462.0,20.88,0.96,1.0
1463.0,17.25,0.94,1.38
1464.0,16.62,0.98,2.12
1465.0,14.25,0.88,1.12
1466.0,17.86,0.9,1.14
1467.0,18.62,0.93,1.25
1468.0,7111.29,0.6,1.43
1469.0,16.25,0.98,1.5
1470.0,14.5,0.88,1.38
1472.0,19.86,0.8,1.57
1473.0,19.62,0.89,1.38
1474.0,19.38,0.88,1.0
1475.0,18.12,0.94,2.0
1476.0,20.57,0.79,1.14
1477.0,18.5,0.8,1.75
1478.0,13.43,0.64,1.29
1479.0,13.5,0.92,1.5
1480.0,19.25,0.9,1.12
1481.0,20.67,0.7,1.0
1482.0,18.25,0.87,1.25
1483.0,15.5,1.0,2.38
1484.0,17.62,0.88,1.0
1485.0,16.62,0.99,1.88
1486.0,18.0,0.91,2.0
1488.0,18.12,0.95,1.62
1489.0,13.38,0.94,1.25
1490.0,18.25,0.96,1.25
1492.0,14.0,0.86,1.0
1493.0,17.0,0.76,1.12
