StudentID,AvgNumLogins,NumSubmissions,TotalCourseTime,TotalLogins,LastLogin,EnrollmentDate,Instructor,Session,TotalTimeSeconds,AvgSessionSeconds
1366.0,45,15,20:16:06,37,4/20/2022 2:41:56 PM,1/27/2022 6:06:43 PM,"Liu, Mai; Dvir, Nim",Spring 2022,72966,1972
1371.0,45,15,10:22:19,36,4/20/2022 5:32:39 PM,2/2/2022 12:32:57 PM,"Liu, Mai; Dvir, Nim",Spring 2022,37339,1037
1373.0,45,1,00:20:26,8,2/9/2022 11:51:45 PM,1/30/2022 4:55:08 PM,"Liu, Mai; Dvir, Nim",Spring 2022,1226,153
1381.0,45,17,19:28:50,66,4/25/2022 2:32:40 PM,1/27/2022 6:09:57 PM,"Liu, Mai; Dvir, Nim",Spring 2022,70130,1063
1382.0,45,15,22:30:40,41,4/28/2022 3:58:52 PM,1/31/2022 5:37:04 PM,"Liu, Mai; Dvir, Nim",Spring 2022,81040,1977
1388.0,45,18,19:20:22,55,4/25/2022 7:39:33 PM,1/29/2022 10:14:05 AM,"Liu, Mai; Dvir, Nim",Spring 2022,69622,1266
1399.0,45,12,22:04:24,28,4/27/2022 10:52:32 AM,2/7/2022 5:56:08 PM,"Liu, Mai; Dvir, Nim",Spring 2022,79464,2838
1406.0,45,24,09:35:02,41,4/25/2022 7:07:44 PM,1/27/2022 6:14:30 PM,"Liu, Mai; Dvir, Nim",Spring 2022,34502,842
1408.0,45,16,08:04:10,47,4/26/2022 11:02:14 PM,1/27/2022 6:10:14 PM,"Liu, Mai; Dvir, Nim",Spring 2022,29050,618
1409.0,45,16,21:58:31,25,4/25/2022 9:19:48 PM,1/27/2022 6:10:15 PM,"Liu, Mai; Dvir, Nim",Spring 2022,79111,3164
1414.0,45,25,20:26:21,78,5/5/2022 1:42:56 PM,2/7/2022 6:17:26 PM,"Liu, Mai; Dvir, Nim",Spring 2022,73581,943
1425.0,45,17,00:50:04,37,4/25/2022 4:12:13 PM,1/27/2022 6:11:20 PM,"Liu, Mai; Dvir, Nim",Spring 2022,3004,81
1429.0,45,13,00:35:06,41,4/25/2022 5:10:45 PM,2/2/2022 10:54:38 AM,"Liu, Mai; Dvir, Nim",Spring 2022,2106,51
1430.0,45,15,21:53:02,62,5/11/2022 1:29:57 PM,1/27/2022 6:04:50 PM,"Liu, Mai; Dvir, Nim",Spring 2022,78782,1271
1434.0,45,15,23:48:33,36,4/20/2022 9:08:07 PM,1/27/2022 6:09:20 PM,"Liu, Mai; Dvir, Nim",Spring 2022,85713,2381
1436.0,45,21,16:42:26,56,4/25/2022 8:52:03 PM,1/31/2022 4:02:52 PM,"Liu, Mai; Dvir, Nim",Spring 2022,60146,1074
1440.0,45,19,10:51:10,99,4/21/2022 11:09:12 AM,1/27/2022 6:10:12 PM,"Liu, Mai; Dvir, Nim",Spring 2022,39070,395
1441.0,45,14,19:58:34,78,5/3/2022 2:09:02 PM,1/27/2022 6:05:24 PM,"Liu, Mai; Dvir, Nim",Spring 2022,71914,922
1446.0,45,16,15:18:23,30,4/20/2022 10:21:42 PM,1/27/2022 6:05:49 PM,"Liu, Mai; Dvir, Nim",Spring 2022,55103,1837
1447.0,45,9,20:45:03,26,3/29/2022 6:28:54 PM,1/27/2022 6:06:20 PM,"Liu, Mai; Dvir, Nim",Spring 2022,74703,2873
1452.0,45,14,00:11:32,61,5/2/2022 9:50:57 PM,1/27/2022 6:09:50 PM,"Liu, Mai; Dvir, Nim",Spring 2022,692,11
1459.0,45,14,00:51:15,53,4/25/2022 8:51:46 PM,2/8/2022 6:13:04 PM,"Liu, Mai; Dvir, Nim",Spring 2022,3075,58
1461.0,45,15,17:52:36,31,4/25/2022 7:55:29 PM,1/27/2022 6:49:15 PM,"Liu, Mai; Dvir, Nim",Spring 2022,64356,2076
1468.0,45,18,21:36:53,47,5/1/2022 12:22:51 AM,2/2/2022 5:57:23 PM,"Liu, Mai; Dvir, Nim",Spring 2022,77813,1656
1469.0,45,21,09:12:23,85,5/2/2022 6:50:21 PM,1/27/2022 6:09:56 PM,"Liu, Mai; Dvir, Nim",Spring 2022,33143,390
1472.0,45,22,05:57:52,81,4/21/2022 2:00:16 PM,1/27/2022 6:09:56 PM,"Liu, Mai; Dvir, Nim",Spring 2022,21472,265
1495.0,45,19,16:07:00,74,5/8/2022 2:37:19 AM,1/27/2022 6:09:47 PM,"Liu, Mai; Dvir, Nim",Spring 2022,58020,784
1499.0,45,17,12:00:23,76,4/25/2022 6:30:51 PM,1/31/2022 7:57:30 PM,"Liu, Mai; Dvir, Nim",Spring 2022,43223,569
1510.0,45,15,22:31:07,32,4/25/2022 11:26:11 PM,2/2/2022 1:18:29 AM,"Liu, Mai; Dvir, Nim",Spring 2022,81067,2533
1524.0,45,1,01:34:13,3,2/9/2022 9:00:53 PM,1/27/2022 6:06:01 PM,"Liu, Mai; Dvir, Nim",Spring 2022,5653,1884
1524.0,45,15,00:21:40,51,4/26/2022 5:11:35 PM,2/8/2022 9:38:43 PM,"Liu, Mai; Dvir, Nim",Spring 2022,1300,25
1526.0,45,22,00:14:39,61,4/26/2022 6:09:05 PM,1/27/2022 6:07:33 PM,"Liu, Mai; Dvir, Nim",Spring 2022,879,14
1530.0,45,16,13:49:35,20,4/25/2022 5:08:32 PM,2/7/2022 2:41:01 PM,"Liu, Mai; Dvir, Nim",Spring 2022,49775,2489
1531.0,45,17,22:42:52,53,4/27/2022 8:48:13 AM,1/27/2022 6:10:02 PM,"Liu, Mai; Dvir, Nim",Spring 2022,81772,1543
1538.0,45,36,12:12:01,154,5/7/2022 6:49:05 PM,1/27/2022 11:41:55 PM,"Liu, Mai; Dvir, Nim",Spring 2022,43921,285
1556.0,45,18,14:53:21,36,4/24/2022 5:53:52 PM,2/7/2022 10:53:10 PM,"Liu, Mai; Dvir, Nim",Spring 2022,53601,1489
1557.0,45,11,13:44:36,35,4/22/2022 12:16:50 PM,2/15/2022 10:41:37 AM,"Liu, Mai; Dvir, Nim",Spring 2022,49476,1414
1565.0,45,23,15:24:42,29,4/26/2022 7:12:14 PM,1/29/2022 4:06:35 PM,"Liu, Mai; Dvir, Nim",Spring 2022,55482,1913
,45,28,18:33:18,33,4/25/2022 12:58:06 PM,2/5/2022 7:42:31 PM,"Liu, Mai; Dvir, Nim",Spring 2022,66798,2024
,45,17,19:16:37,72,4/25/2022 11:00:58 PM,1/27/2022 6:09:57 PM,"Liu, Mai; Dvir, Nim",Spring 2022,69397,964
1579.0,45,7,19:00:33,25,5/3/2022 4:02:27 PM,2/15/2022 9:47:17 AM,"Liu, Mai; Dvir, Nim",Spring 2022,68433,2737
1596.0,45,14,03:37:46,31,4/25/2022 1:30:23 PM,1/31/2022 5:06:13 PM,"Liu, Mai; Dvir, Nim",Spring 2022,13066,421
1597.0,45,20,18:46:53,30,4/19/2022 8:16:55 AM,2/7/2022 7:10:09 PM,"Liu, Mai; Dvir, Nim",Spring 2022,67613,2254
1601.0,45,36,22:28:50,58,4/25/2022 10:41:57 PM,1/27/2022 6:05:32 PM,"Liu, Mai; Dvir, Nim",Spring 2022,80930,1395
1604.0,45,25,12:46:54,84,4/19/2022 9:38:55 PM,1/27/2022 6:10:07 PM,"Liu, Mai; Dvir, Nim",Spring 2022,46014,548
1607.0,45,22,08:30:53,33,4/25/2022 10:55:51 PM,1/27/2022 8:45:20 PM,"Liu, Mai; Dvir, Nim",Spring 2022,30653,929
1612.0,45,14,15:56:36,20,4/28/2022 7:15:06 PM,1/27/2022 6:10:31 PM,"Liu, Mai; Dvir, Nim",Spring 2022,57396,2870
1613.0,45,22,23:09:37,53,4/19/2022 4:07:55 PM,1/27/2022 6:10:05 PM,"Liu, Mai; Dvir, Nim",Spring 2022,83377,1573
1624.0,45,14,18:44:59,40,4/25/2022 11:37:00 PM,2/6/2022 5:25:03 PM,"Liu, Mai; Dvir, Nim",Spring 2022,67499,1687
1632.0,45,14,05:23:06,46,4/19/2022 5:09:41 PM,1/27/2022 6:12:15 PM,"Liu, Mai; Dvir, Nim",Spring 2022,19386,421
