Roster Grade,Official Grade,Grading Basis,Program and Plan,Level,Session,StudentID
B+,B+,GRD,College of Arts and Sciences - Psychology/Business (Minor),Junior,2021 - Fall - session 2,
B,B,GRD,Business Administration - Business Administration/Psychology/Legal Studies (Minor),Junior,2021 - Fall - session 2,1307
D,D,GRD,Business Administration - Business Administration/Economics (Minor),Junior,2021 - Fall - session 2,
D,D,GRD,Business Administration - Business Administration/Public Health (Minor),Junior,2021 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 2,1496
D+,D+,GRD,Business Administration - Business Economics/Business Administration,Junior,2021 - Fall - session 2,2036
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1052
B+,B+,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 2,
B,B,GRD,Business Administration - Business Administration/Computer Science,Junior,2021 - Fall - session 2,1981
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2021 - Fall - session 2,2075
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 2,1678
A-,A-,GRD,Business Administration - Business Administration/Criminal Justice (Minor),Junior,2021 - Fall - session 2,
B,B,GRD,Intended - Business Admin (intended),Junior,2021 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration/English (Minor),Junior,2021 - Fall - session 2,1544
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,
A,A,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Junior,2021 - Fall - session 2,1699
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2021 - Fall - session 2,
B-,B-,GRD,College of Arts and Sciences - Economics/Business (Minor),Senior,2021 - Fall - session 2,1819
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2021 - Fall - session 2,
A,A,GRD,Criminal Justice - Criminal Justice/Business (Minor),Junior,2021 - Fall - session 2,1832
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1712
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1402
A-,A-,GRD,Business Administration - Business Administration/Informatics (Minor),Junior,2021 - Fall - session 2,1979
C,C,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,1551
C+,C+,GRD,College of Arts and Sciences - Business Economics/History (Minor),Senior,2021 - Fall - session 2,1773
D-,D-,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,1935
A,A,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,1222
A,A,GRD,Intended - Business Admin (intended),Junior,2021 - Fall - session 2,2066
C+,C+,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 2,1122
D+,D+,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 2,1046
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 2,1750
B-,B-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 2,1697
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,2021 - Fall - session 2,1344
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 2,1587
B,B,GRD,Business Administration - Interdis Financial Mkt Reg/Business (Minor),Junior,2021 - Fall - session 2,1001
B+,B+,GRD,Public Affairs - Political Science/Business (Minor),Junior,2021 - Fall - session 2,1479
B+,B+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1507
C+,C+,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 2,1264
B+,B+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1862
B+,B+,GRD,Intended - Business Economics (intended)/Business Admin (intended),Junior,2021 - Fall - session 2,1886
A,A,GRD,Intended - Business Admin (intended)/Informatics (intended),Junior,2021 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration/Economics (Minor)/Statistics (Minor),Junior,2021 - Fall - session 2,1253
C,C,GRD,Intended - Business Economics (intended),Junior,2021 - Fall - session 2,
B+,B+,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,1906
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1422
B,B,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1435
,W,WDN,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 2,1744
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 2,1964
A,A,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 2,
B-,B-,GRD,Intended - Business Economics (intended),Junior,2021 - Fall - session 1,
B,B,GRD,Business Administration - Interdis Financial Mkt Reg/Business (Minor),Junior,2021 - Fall - session 1,1001
C+,C+,GRD,Intended - Business Economics (intended),Junior,2021 - Fall - session 1,1018
A,A,GRD,Business Administration - Accounting/Business (Minor)/English (Minor)/History (Minor),Senior,2021 - Fall - session 1,1022
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1028
A-,A-,GRD,Business Administration - Accounting/Business Administration/Communication (Minor),Senior,2021 - Fall - session 1,1030
A-,A-,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1035
B,B,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Senior,2021 - Fall - session 1,1036
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Senior,2021 - Fall - session 1,1041
A,A,GRD,Business Administration - Business Administration/Digital Forensics,Junior,2021 - Fall - session 1,1044
D+,D+,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 1,1046
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1052
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,
C-,C-,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,
B+,B+,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 1,
A,A,GRD,College of Arts and Sciences - Quantitative Eco&Data Analysis/Business (Minor)/Psychology (Minor),Junior,2021 - Fall - session 1,1079
A-,A-,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2021 - Fall - session 1,1086
,W,WDN,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 1,
,W,WDN,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1098
A,A,GRD,Business Administration - Business Administration/Criminal Justice (Minor)/Sociology (Minor),Junior,2021 - Fall - session 1,1106
B,B,GRD,Business Administration - Business Administration/Statistics (Minor),Junior,2021 - Fall - session 1,1111
B,B,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1116
A,A,GRD,College of Arts and Sciences - Business Economics/Mathematics,Senior,2021 - Fall - session 1,
C,C,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1120
C+,C+,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 1,1122
B+,B+,GRD,Public Affairs - Political Science/Business (Minor),Junior,2021 - Fall - session 1,1134
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,
C,C,GRD,Business Administration - Accounting/Business (Minor),Junior,2021 - Fall - session 1,1152
