Roster Grade,Official Grade,Grading Basis,Program and Plan,Level,Session,StudentID
B-,B-,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
B-,B-,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration,Senior,2023 - Fall - session 2,
B+,B+,GRD,"Business Administration - Business Administration/EmergPrep,HomelandSec&Cybsec",Junior,2023 - Fall - session 2,
D+,D+,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
E,E,GRD,Business Administration - Business Administration,Senior,2023 - Fall - session 2,
B,B,GRD,Business Administration - Business Administration/Philosophy (Minor),Junior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration/Music (Minor)/Psychology (Minor),Junior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration/Criminal Justice (Minor),Junior,2023 - Fall - session 2,
A,A,GRD,College of Arts and Sciences - Business Economics,Junior,2023 - Fall - session 2,
B+,B+,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration/Interdis Financial Mkt Reg,Junior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration/Criminal Justice (Minor),Junior,2023 - Fall - session 2,
A-,A-,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - Fall - session 2,
D,D,GRD,College of Arts and Sciences - Business Economics/Urban Std & Planning (Minor),Junior,2023 - Fall - session 2,
B-,B-,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
B,B,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - Fall - session 2,
D-,D-,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
B-,B-,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
,W,WDN,Business Administration - Accounting/Business (Minor),Junior,2023 - Fall - session 2,
B+,B+,GRD,Business Administration - Business Administration/Criminal Justice (Minor)/Legal Studies (Minor),Junior,2023 - Fall - session 2,
B,B,GRD,Business Administration - Business Administration/Interdis Financial Mkt Reg,Junior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration/Mathematics (Minor),Junior,2023 - Fall - session 2,
A-,A-,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration/Economics,Senior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - Fall - session 2,
C-,C-,GRD,College of Arts and Sciences - Communication/Political Science,Junior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration/Spanish (Minor),Junior,2023 - Fall - session 2,
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - Fall - session 2,
A-,A-,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
A-,A-,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
B-,B-,GRD,Business Administration - Business Administration/Communication (Minor),Senior,2023 - Fall - session 2,
,W,WDN,Intended - Cybersecurity (intended)/Criminal Justice (Minor),Junior,2023 - Fall - session 2,
C+,C+,GRD,Criminal Justice - Criminal Justice/Business (Minor),Junior,2023 - Fall - session 2,
A,A,GRD,College of Arts and Sciences - Business Economics,Junior,2023 - Fall - session 2,
A-,A-,GRD,Business Administration - Business Administration/Spanish (Minor),Junior,2023 - Fall - session 2,
E,E,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
A,A,GRD,Criminal Justice - Criminal Justice/Business (Minor),Junior,2023 - Fall - session 2,
C+,C+,GRD,Intended - Business Admin (intended),Junior,2023 - Fall - session 2,
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - Fall - session 2,
A-,A-,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - Fall - session 2,
A-,A-,GRD,Business Administration - Business Administration,Senior,2023 - Fall - session 2,
B-,B-,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
B+,B+,GRD,Business Administration - Business Administration,Senior,2023 - Fall - session 2,
A,A,GRD,"Business Administration - Business Administration/EmerPrep,HomeldSec&Cybsec(Min)",Junior,2023 - Fall - session 2,
B,B,GRD,"College of Arts and Sciences - Business Economics/EmerPrep,HomeldSec&Cybsec(Min)",Junior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
,W,WDN,College of Arts and Sciences - Business Economics,Senior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration/Computer Science (Minor),Junior,2023 - Fall - session 2,
D+,D+,GRD,College of Arts and Sciences - Business Economics/Film Studies (Minor),Junior,2023 - Fall - session 2,
E,E,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
B,B,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - Fall - session 2,
D+,D+,GRD,Intended - Business Admin (intended),Junior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - Fall - session 2,
E,E,GRD,"Emerg Prep, HomelandSec&Cybsec - EmergPrep,HomelandSec&Cybsec/Business (Minor)",Junior,2023 - Fall - session 2,
,W,WDN,College of Arts and Sciences - Business Economics,Junior,2023 - Fall - session 2,
,W,WDN,College of Arts and Sciences - Economics/Business (Minor),Senior,2023 - Fall - session 2,
C+,C+,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
C+,C+,GRD,Business Administration - Business Administration,Senior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Senior,2023 - Fall - session 2,
A-,A-,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - Fall - session 2,
C+,C+,GRD,Business Administration - Business Administration,Senior,2023 - Fall - session 2,
B,B,GRD,Business Administration - Business Administration/Psychology/French (Minor),Senior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration,Senior,2023 - Fall - session 2,
A-,A-,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
C-,C-,GRD,Business Administration - Business Administration,Senior,2023 - Fall - session 2,
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - Fall - session 2,
,W,WDN,College of Arts and Sciences - Business Economics,Junior,2023 - Fall - session 2,
D,D,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2023 - Fall - session 2,
A,A,GRD,Business Administration - Business Administration,Junior,2023 - Fall - session 2,
D,D,GRD,College of Arts and Sciences - Business Economics,Junior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration/Music (Minor)/Psychology (Minor),Junior,2023 - fall - session 1,
B,B,GRD,Business Administration - Business Administration/Philosophy (Minor),Junior,2023 - fall - session 1,
A,A,GRD,Criminal Justice - Criminal Justice/Business (Minor),Junior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration/Spanish (Minor),Junior,2023 - fall - session 1,
D+,D+,GRD,College of Arts and Sciences - Business Economics/Film Studies (Minor),Junior,2023 - fall - session 1,
A,A,GRD,College of Arts and Sciences - Mathematics/Business (Minor),Senior,2023 - fall - session 1,
E,E,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration/Communication (Minor)/Sustainability (Minor),Senior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2023 - fall - session 1,
A-,A-,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
E,E,GRD,"Emerg Prep, HomelandSec&Cybsec - EmergPrep,HomelandSec&Cybsec/Business (Minor)",Junior,2023 - fall - session 1,
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - fall - session 1,
C+,C+,GRD,Business Administration - Business Administration,Senior,2023 - fall - session 1,
B,B,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci/Economics (Minor),Junior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration,Senior,2023 - fall - session 1,
C-,C-,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration/Theatre (Minor),Junior,2023 - fall - session 1,
B+,B+,GRD,Business Administration - Business Administration,Senior,2023 - fall - session 1,
C,C,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration/Sociology (Minor),Senior,2023 - fall - session 1,
,W,WDN,Business Administration - Business Administration,Senior,2023 - fall - session 1,
C+,C+,GRD,Intended - Business Admin (intended),Junior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
A-,A-,GRD,Business Administration - Business Administration/Spanish (Minor),Junior,2023 - fall - session 1,
B+,B+,GRD,Business Administration - Business Administration/Criminal Justice (Minor)/Legal Studies (Minor),Junior,2023 - fall - session 1,
C+,C+,GRD,Intended - Business Admin (intended),Junior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
C,C,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
D+,D+,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - fall - session 1,
B-,B-,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
,W,WDN,College of Arts and Sciences - Business Economics,Senior,2023 - fall - session 1,
,W,WDN,College of Arts and Sciences - Business Economics,Junior,2023 - fall - session 1,
B-,B-,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - fall - session 1,
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - fall - session 1,
A-,A-,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - fall - session 1,
B+,B+,GRD,Business Administration - Business Administration/Communication (Minor)/Informatics (Minor),Junior,2023 - fall - session 1,
A-,A-,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
D+,D+,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
C+,C+,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
C+,C+,GRD,Business Administration - Business Administration,Senior,2023 - fall - session 1,
D,D,GRD,College of Arts and Sciences - Business Economics/Urban Std & Planning (Minor),Junior,2023 - fall - session 1,
C-,C-,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration/Criminal Justice (Minor),Junior,2023 - fall - session 1,
B-,B-,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
A-,A-,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
B-,B-,GRD,Business Administration - Business Administration/Sociology (Minor),Senior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration/Mathematics (Minor),Junior,2023 - fall - session 1,
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - fall - session 1,
D,D,GRD,Business Administration - Business Administration,Senior,2023 - fall - session 1,
B-,B-,GRD,Business Administration - Business Administration,Senior,2023 - fall - session 1,
A-,A-,GRD,Business Administration - Business Administration/Communication (Minor),Senior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration/Economics,Senior,2023 - fall - session 1,
A,A,GRD,Business Administration - Accounting/Business Administration,Senior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration,Senior,2023 - fall - session 1,
C,C,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - fall - session 1,
C,C,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - fall - session 1,
B,B,GRD,Business Administration - Business Administration/Psychology/French (Minor),Senior,2023 - fall - session 1,
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - fall - session 1,
A,A,GRD,College of Arts and Sciences - Business Economics,Junior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration,Senior,2023 - fall - session 1,
A,A,GRD,College of Arts and Sciences - Business Economics/Public Health,Senior,2023 - fall - session 1,
E,E,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration,Senior,2023 - fall - session 1,
B-,B-,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
D+,D+,GRD,Business Administration - Business Administration,Senior,2023 - fall - session 1,
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - fall - session 1,
,W,WDN,Public Affairs - Political Science/Business (Minor),Senior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Senior,2023 - fall - session 1,
E,E,GRD,Business Administration - Business Administration,Senior,2023 - fall - session 1,
A-,A-,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
C,C,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - fall - session 1,
A-,A-,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
D-,D-,GRD,College of Arts and Sciences - Business Economics,Junior,2023 - fall - session 1,
B+,B+,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - fall - session 1,
B,B,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - fall - session 1,
C-,C-,GRD,College of Arts and Sciences - Communication/Political Science,Junior,2023 - fall - session 1,
C+,C+,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - fall - session 1,
B,B,GRD,Business Administration - Business Administration/Interdis Financial Mkt Reg,Junior,2023 - fall - session 1,
B-,B-,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
,W,WDN,Intended - Business Economics (intended),Junior,2023 - fall - session 1,
C+,C+,GRD,Criminal Justice - Criminal Justice/Business (Minor),Junior,2023 - fall - session 1,
E,E,GRD,College of Arts and Sciences - Business Economics/Communication (Minor),Junior,2023 - fall - session 1,
,W,WDN,College of Arts and Sciences - Economics/Business (Minor),Senior,2023 - fall - session 1,
B+,B+,GRD,Business Administration - Business Administration,Senior,2023 - fall - session 1,
,W,WDN,Business Administration - Accounting/Business (Minor),Junior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration/Interdis Financial Mkt Reg,Junior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration/Criminal Justice (Minor),Junior,2023 - fall - session 1,
B-,B-,GRD,Business Administration - Business Administration,Senior,2023 - fall - session 1,
B-,B-,GRD,Business Administration - Business Administration/Communication (Minor),Senior,2023 - fall - session 1,
D+,D+,GRD,Intended - Business Admin (intended),Junior,2023 - fall - session 1,
B-,B-,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - fall - session 1,
,W,WDN,College of Arts and Sciences - Business Economics,Junior,2023 - fall - session 1,
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - fall - session 1,
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - fall - session 1,
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - fall - session 1,
B-,B-,GRD,Business Administration - Business Administration,Senior,2023 - fall - session 1,
A-,A-,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
C+,C+,GRD,Business Administration - Business Administration,Senior,2023 - fall - session 1,
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - fall - session 1,
A,A,GRD,College of Arts and Sciences - Business Economics,Junior,2023 - fall - session 1,
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - fall - session 1,
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - fall - session 1,
C,C,GRD,Business Administration - Business Administration,Senior,2023 - fall - session 1,
A-,A-,GRD,Business Administration - Business Administration,Senior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration/Sociology (Minor),Senior,2023 - fall - session 1,
,W,WDN,Intended - Cybersecurity (intended)/Criminal Justice (Minor),Junior,2023 - fall - session 1,
A-,A-,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
A-,A-,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
B+,B+,GRD,Business Administration - Business Administration,Senior,2023 - fall - session 1,
B,B,GRD,"College of Arts and Sciences - Business Economics/EmerPrep,HomeldSec&Cybsec(Min)",Junior,2023 - fall - session 1,
D-,D-,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
A,A,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Senior,2023 - fall - session 1,
A-,A-,GRD,Business Administration - Business Administration/Leadership (Minor),Senior,2023 - fall - session 1,
C,C,GRD,College of Arts and Sciences - Business Economics,Junior,2023 - fall - session 1,
B,B,GRD,Business Administration - Business Administration/Sociology (Minor),Senior,2023 - fall - session 1,
C,C,GRD,College of Arts and Sciences - Communication/Business (Minor),Senior,2023 - fall - session 1,
E,E,GRD,Business Administration - Business Administration/Interdis Financial Mkt Reg,Senior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2023 - fall - session 1,
,W,WDN,Business Administration - Accounting/Business Administration,Senior,2023 - fall - session 1,1971
B,B,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - fall - session 1,
B,B,GRD,Business Administration - Business Administration/Interdis Financial Mkt Reg,Senior,2023 - fall - session 1,
C-,C-,GRD,Business Administration - Business Administration,Senior,2023 - fall - session 1,
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration/Computer Science (Minor),Junior,2023 - fall - session 1,
B-,B-,GRD,Business Administration - Business Administration,Senior,2023 - fall - session 1,
A-,A-,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - fall - session 1,
A,A,GRD,Business Administration - Accounting/Business (Minor)/Spanish (Minor),Senior,2023 - fall - session 1,
E,E,GRD,Business Administration - Accounting/Business Administration,Junior,2023 - fall - session 1,
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - fall - session 1,
A,A,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
A,A,GRD,College of Arts and Sciences - Economics/Business (Minor),Senior,2023 - fall - session 1,
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - fall - session 1,
E,E,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
A-,A-,GRD,College of Arts and Sciences - Business Economics/Informatics (Minor),Junior,2023 - fall - session 1,
B+,B+,GRD,"Business Administration - Business Administration/EmergPrep,HomelandSec&Cybsec",Junior,2023 - fall - session 1,
A,A,GRD,"Business Administration - Business Administration/EmerPrep,HomeldSec&Cybsec(Min)",Junior,2023 - fall - session 1,
D,D,GRD,Business Administration - Business Administration,Junior,2023 - fall - session 1,
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - fall - session 1,
B,B,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - fall - session 1,
D,D,GRD,College of Arts and Sciences - Business Economics,Senior,2022 - spring,2037
C,C,GRD,College of Arts and Sciences - Business Economics,Senior,2022 - spring,
B,B,GRD,Business Administration - Accounting/Business (Minor),Senior,2022 - spring,1597
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2022 - spring,1876
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2022 - spring,1811
B+,B+,GRD,Business Administration - Business Administration,Junior,2022 - spring,1743
C+,C+,GRD,Business Administration - Business Administration/History (Minor),Junior,2022 - spring,1382
E,W,WDN,Business Administration - Business Administration,Junior,2022 - spring,
A,A,GRD,Business Administration - Accounting/Business (Minor)/Mathematics (Minor),Senior,2022 - spring,1771
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2022 - spring,2012
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1332
A,A,GRD,Business Administration - Business Administration,Senior,2022 - spring,1098
D-,D-,GRD,College of Arts and Sciences - Human Biology/Business (Minor),Senior,2022 - spring,1327
B+,B+,GRD,College of Arts and Sciences - Business Economics,Senior,2022 - spring,1254
C+,C+,GRD,College of Arts and Sciences - Mathematics/Business (Minor),Senior,2022 - spring,1289
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Senior,2022 - spring,1636
E,W,WDN,College of Arts and Sciences - Sociology/Africana Studies (Minor)/Business (Minor),Senior,2022 - spring,1728
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2022 - spring,1160
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2022 - spring,1468
A,A,GRD,Criminal Justice - Criminal Justice/Business (Minor)/Sociology (Minor),Senior,2022 - spring,1908
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2022 - spring,
B-,B-,GRD,Business Administration - Business Administration,Senior,2022 - spring,1081
C,C,GRD,Business Administration - Business Administration,Senior,2022 - spring,1306
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2022 - spring,1709
C+,C+,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,2022 - spring,1184
A,A,GRD,College of Arts and Sciences - Human Biology/Business (Minor),Senior,2022 - spring,1673
A,A,GRD,Business Administration - Business Administration/Public Policy (Minor),Senior,2022 - spring,1064
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2022 - spring,1624
A,A,GRD,College of Arts and Sciences - Economics/Business (Minor),Senior,2022 - spring,1968
A,A,GRD,Coll Engineering & Applied Sci - Computer Science/Business (Minor)/Mathematics (Minor),Senior,2022 - spring,2047
A,A,GRD,College of Arts and Sciences - Biology/Business (Minor),Senior,2022 - spring,1999
A,A,GRD,Business Administration - Business Administration/History (Minor),Junior,2022 - spring,2049
A,A,GRD,Business Administration - Business Administration/Mathematics (Minor),Senior,2022 - spring,1969
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1957
E,E,GRD,Business Administration - Business Administration/Leadership (Minor),Junior,2022 - spring,
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2022 - spring,1299
A,A,GRD,Business Administration - Business Administration/Internat Studies (Minor),Junior,2022 - spring,
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2022 - spring,2046
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1107
A-,A-,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2022 - spring,1640
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2022 - spring,1992
A,A,GRD,Business Administration - Business Administration/Film Studies (Minor),Junior,2022 - spring,1798
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2022 - spring,1959
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2022 - spring,1430
A,A,GRD,Business Administration - Business Administration/Biology (Minor)/Leadership (Minor),Junior,2022 - spring,1364
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1644
A,A,GRD,Business Administration - Business Administration,Senior,2022 - spring,1213
,W,WDN,Business Administration - Business Administration/Leadership (Minor),Junior,2022 - spring,1909
A,A,GRD,College of Arts and Sciences - Communication/Business (Minor),Junior,2022 - spring,1260
B+,B+,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2022 - spring,
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2022 - spring,
A,A,GRD,College of Arts and Sciences - Business Economics,Junior,2022 - spring,
A,A,GRD,Business Administration - Business Administration,Senior,2022 - spring,1894
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1137
D-,D-,GRD,Business Administration - Accounting/Business Administration,Senior,2022 - spring,1275
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2022 - spring,1240
A,A,GRD,"Emerg Prep, HomelandSec&Cybsec - Informatics",Junior,2022 - spring,1371
E,E,GRD,Business Administration - Business Administration,Junior,2022 - spring,1864
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2022 - spring,1974
D+,D+,GRD,College of Arts and Sciences - Business Economics,Junior,2022 - spring,1077
A-,A-,GRD,Business Administration - Business Administration/Sociology (Minor),Junior,2022 - spring,1230
A,A,GRD,Business Administration - Accounting/Mathematics/Business (Minor),Senior,2022 - spring,1325
B+,B+,GRD,Business Administration - Business Administration,Junior,2022 - spring,
A-,A-,GRD,Business Administration - Business Administration/Criminal Justice (Minor),Junior,2022 - spring,
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,2022 - spring,1947
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1295
A,A,GRD,Business Administration - Business Administration,Senior,2022 - spring,1388
A,A,GRD,Business Administration - Business Administration/Interdis Financial Mkt Reg,Junior,2022 - spring,
A,A,GRD,Business Administration - Business Administration/Anthropology (Minor),Junior,2022 - spring,1078
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,
A,A,GRD,Business Administration - Business Administration/Legal Studies (Minor),Senior,2022 - spring,1890
A,A,GRD,College of Arts and Sciences - Business Economics,Junior,2022 - spring,
A,A,GRD,Business Administration - Business Administration/Sociology (Minor),Senior,2022 - spring,1093
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1156
A,A,GRD,Business Administration - Business Administration/Economics (Minor),Junior,2022 - spring,
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1510
B-,B-,GRD,Business Administration - Accounting/Business (Minor),Junior,2022 - spring,1612
A,A,GRD,Business Administration - Business Administration,Junior,2022 - spring,1739
B+,B+,GRD,Business Administration - Business Administration/Sociology (Minor),Senior,2022 - spring,1772
A,A,GRD,Business Administration - Business Administration/Criminal Justice (Minor),Junior,2022 - spring,1793
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2022 - spring,1848
A,A,GRD,College of Arts and Sciences - Psychology/Business (Minor),Junior,2022 - spring,1873
A-,A-,GRD,Business Administration - Business Administration,Junior,2022 - spring,1002
A,A,GRD,Business Administration - Business Administration/Leadership (Minor),Junior,2022 - spring,
A,A,GRD,Business Administration - Business Administration/Sociology (Minor),Junior,2022 - spring,1530
E,E,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2022 - spring,1691
A-,A-,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2022 - spring,1298
D+,D+,GRD,Business Administration - Business Administration,Junior,2022 - spring,1579
A,A,GRD,Intended - Business Admin (intended),Junior,2022 - spring,1927
A,A,GRD,Business Administration - Business Administration,Senior,2022 - spring,1381
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2022 - spring,1806
B+,B+,GRD,College of Arts and Sciences - Business Economics,Junior,2022 - spring,
E,E,GRD,Business Administration - Business Administration/Economics,Junior,2022 - spring,1373
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2022 - spring,1613
B+,B+,GRD,Business Administration - Business Administration/Psychology/Law & Philosophy (Minor),Senior,2022 - spring,
